agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
United Nations High Commissioner for Refugees,Africa,Uganda,2020-11-10,Displacement,Eastern Africa,2000000,2020,Protection; Protection; Protection,"48,8","-0,11"
United Nations Children’s Fund,Africa,Uganda,2020-11-10,Cholera,Eastern Africa,600000,2020,Nutrition,"48,8","-0,11"
World Health Organization,Africa,Uganda,2020-11-11,Displacement,Eastern Africa,499984,2020,Health,"48,8","-0,11"
United Nations Entity for Gender Equality and the Empowerment of Women,Africa,Uganda,2020-11-13,Displacement,Eastern Africa,1200068,2020,Protection; Multi-Purpose Cash,"48,8","-0,11"
United Nations Children’s Fund,Africa,Nigeria,2020-10-29,Displacement,Western Africa,4399657,2020,Education; Protection,"69,9","0,04"
United Nations Population Fund,Africa,Nigeria,2020-10-29,Displacement,Western Africa,2402289,2020,Protection,"69,9","0,04"
United Nations High Commissioner for Refugees,Africa,Nigeria,2020-10-29,Displacement,Western Africa,3800000,2020,Protection; Shelter and Non-Food Items; Camp Coordination and Camp Management,"69,9","0,04"
International Organization for Migration,Africa,Nigeria,2020-11-05,Displacement,Western Africa,2400000,2020,Camp Coordination and Camp Management; Shelter and Non-Food Items,"69,9","0,04"
United Nations Children’s Fund,Americas,Colombia,2020-12-01,Post-conflict Needs,Latin America and the Caribbean,1003631,2020,Protection; Water; Sanitation and Hygiene; Education,"40,2","-0,06"
United Nations Population Fund,Americas,Colombia,2020-11-18,Post-conflict Needs,Latin America and the Caribbean,947445,2020,Protection; Health,"40,2","-0,06"
United Nations High Commissioner for Refugees,Americas,Colombia,2020-11-24,Post-conflict Needs,Latin America and the Caribbean,743151,2020,Protection,"40,2","-0,06"
World Food Programme,Americas,Colombia,2020-11-20,Post-conflict Needs,Latin America and the Caribbean,889521,2020,Food Assistance; Agriculture,"40,2","-0,06"
World Health Organization,Americas,Colombia,2020-11-20,Post-conflict Needs,Latin America and the Caribbean,1108977,2020,Health,"40,2","-0,06"
United Nations Entity for Gender Equality and the Empowerment of Women,Americas,Colombia,2020-11-20,Post-conflict Needs,Latin America and the Caribbean,307275,2020,Protection,"40,2","-0,06"
United Nations Population Fund,Americas,Haiti,2020-11-17,Economic Disruption,Latin America and the Caribbean,1100000,2020,Protection; Health; Education,"51,4","0,09"
United Nations Children’s Fund,Americas,Haiti,2020-11-12,Economic Disruption,Latin America and the Caribbean,1250000,2020,Education; Nutrition; Protection,"51,4","0,09"
Food and Agriculture Organization,Americas,Haiti,2020-11-16,Economic Disruption,Latin America and the Caribbean,1500000,2020,Agriculture,"51,4","0,09"
International Organization for Migration,Americas,Haiti,2020-11-24,Economic Disruption,Latin America and the Caribbean,1150000,2020,Protection,"51,4","0,09"
World Food Programme,Africa,Burkina Faso,2020-11-17,Displacement,Western Africa,300000,2020,Common Services,"48,6","0,03"
United Nations Population Fund,Africa,Burkina Faso,2020-11-17,Displacement,Western Africa,750003,2020,Protection,"48,6","0,03"
World Health Organization,Africa,Burkina Faso,2020-11-17,Displacement,Western Africa,1050000,2020,Health,"48,6","0,03"
Food and Agriculture Organization,Africa,Burkina Faso,2020-11-17,Displacement,Western Africa,1500000,2020,Agriculture,"48,6","0,03"
United Nations Children’s Fund,Africa,Burkina Faso,2020-11-16,Displacement,Western Africa,901145,2020,Water; Sanitation and Hygiene; Nutrition,"48,6","0,03"
United Nations High Commissioner for Refugees,Africa,Burkina Faso,2020-11-17,Displacement,Western Africa,1500000,2020,Shelter and Non-Food Items; Camp Coordination and Camp Management,"48,6","0,03"
Food and Agriculture Organization,Africa,Chad,2021-09-01,Displacement,Middle Africa,500000,2021,Agriculture,"62,4","0,04"
International Organization for Migration,Africa,Chad,2021-08-24,Displacement,Middle Africa,600000,2021,Shelter and Non-Food Items,"62,4","0,04"
World Health Organization,Africa,Chad,2021-08-24,Displacement,Middle Africa,599975,2021,Health; Nutrition,"62,4","0,04"
United Nations Children’s Fund,Africa,Chad,2021-09-07,Displacement,Middle Africa,1599960,2021,Nutrition; Water; Sanitation and Hygiene; Protection; Health,"62,4","0,04"
United Nations Population Fund,Africa,Chad,2021-09-01,Displacement,Middle Africa,800000,2021,Health; Protection,"62,4","0,04"
